,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
28,Apoptosis Network,TRAF,01,1,0.5,1,2.7179718017578125e-05,,0.0006549358367919922,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
29,Apoptosis Network,AKT,01,1,0.5,1,2.9325485229492188e-05,,0.0006518363952636719,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
30,Apoptosis Network,PIP2,01,1,0.5,1,3.3855438232421875e-05,,0.0008549690246582031,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
31,Apoptosis Network,GFR,01,1,0.5,1,2.8371810913085938e-05,,0.0006906986236572266,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
32,Apoptosis Network,A20,01,1,0.5,1,2.8848648071289062e-05,,0.0006697177886962891,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
33,Apoptosis Network,RIP,01,1,0.5,1,3.337860107421875e-05,,0.0007426738739013672,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
34,Apoptosis Network,BID,0000001000100010,4,0.1875,3,0.00013065338134765625,,0.0020825862884521484,,,1.5208333333333335,"[[('2202', [], [[0, 1, 3]]), ('2221', [], [[0, 1, 2]]), ('0022', [], [[0, 1], [2, 3]])], [('2110', [[0, 1]], [])]]",True,False,,0.38020833333333337,cc,v0.1.2
35,Apoptosis Network,Cas9,0000100010001000,4,0.1875,3,0.00011539459228515625,,0.002370119094848633,,,1.5208333333333335,"[[('2212', [[2, 3]], [[0, 1]]), ('0022', [], [[0, 1], [2, 3]])], [('1200', [[0, 1]], [[0, 1]])]]",True,False,,0.38020833333333337,cc,v0.1.2
36,Apoptosis Network,BclX,00100000,3,0.125,3,6.29425048828125e-05,,0.002318143844604492,,,1.25,"[[('221', [[0, 2]], []), ('202', [], [[0, 2]])], [('010', [], [[0, 2]])]]",True,False,,0.4166666666666667,cc,v0.1.2
37,Apoptosis Network,DNADamageEvent,01,1,0.5,1,2.7894973754882812e-05,,0.0006511211395263672,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
38,Apoptosis Network,BAD,0010,2,0.25,2,4.1484832763671875e-05,,0.0011448860168457031,,,1.25,"[[('21', [], []), ('02', [], [])], [('10', [], [])]]",True,False,,0.625,cc,v0.1.2
39,Apoptosis Network,TNF,01,1,0.5,1,2.8371810913085938e-05,,0.0006704330444335938,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
40,Apoptosis Network,GF,01,1,0.5,1,2.86102294921875e-05,,0.0006592273712158203,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
41,Arabidopsis thaliana Cell Cycle,MYB77,0101000101010000,4,0.3125,3,0.00011777877807617188,,0.0018613338470458984,,,1.6979166666666665,"[[('2102', [], [[0, 3]]), ('1122', [], [[0, 1], [2, 3]]), ('2220', [], [[0, 1, 2]])], [('0211', [], [[2, 3]]), ('2021', [], [[0, 2]])]]",True,False,,0.42447916666666663,cc,v0.1.2
42,Arabidopsis thaliana Cell Cycle,KRP1,00001111000011101111111111101110,5,0.65625,6,0.0002415180206298828,,0.0026290416717529297,,,2.109375,"[[('02022', [], [[0, 2], [1, 3, 4]]), ('21211', [], [[0, 2], [1, 3, 4]])], [('20122', [[0, 2], [1, 3, 4]], [[0, 1, 4]])]]",True,False,,0.421875,cc,v0.1.2
43,Arabidopsis thaliana Cell Cycle,CYCB1;1,0111000000110000011100000011000000110000001100000111000000110000011100000011000001110000001100000011000000110000001100000011000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000,8,0.39453125,5,0.008841991424560547,,0.012968063354492188,,,1.892252604166667,"[[('22222122', [], [[0, 1, 2, 3, 4, 6, 7]]), ('02222200', [], [[0, 6, 7], [1, 2, 3, 4, 5]]), ('01122202', [], [[0, 6], [1, 2], [3, 4, 5, 7]]), ('02102202', [], [[0, 3, 6], [1, 4, 5, 7]]), ('02221202', [], [[0, 6], [1, 2, 3, 5, 7]])], [('12222022', [[0, 6]], [[0, 1]]), ('22020021', [], [[0, 1, 3, 6], [2, 4, 5]]), ('20210021', [], [[0, 2, 6], [1, 4, 5], [3, 7]])]]",True,False,,0.23653157552083337,cc,v0.1.2
