,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
23,Apoptosis Network,TNFR1,01,1,0.5,1,1.0728836059570312e-05,0.0,0.00011444091796875,5.9604644775390625e-06,1.52587890625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
24,Apoptosis Network,NIK,01,1,0.5,1,1.0728836059570312e-05,0.0,6.842613220214844e-05,5.245208740234375e-06,1.4066696166992188e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
25,Apoptosis Network,IKK,00101010,3,0.375,2,3.123283386230469e-05,0.75,0.00012564659118652344,9.775161743164062e-06,0.00019693374633789062,1.5625,"[[['221', [], [[0, 1]]], ['002', [], [[0, 1]]]], [['120', [[0, 1]], []]]]",1.0,False,0.25,0.5208333333333334,cc,
26,Apoptosis Network,IkB,0010,2,0.25,2,1.7642974853515625e-05,0.0,9.274482727050781e-05,6.4373016357421875e-06,1.7881393432617188e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",1.0,False,0.0,0.625,cc,
27,Apoptosis Network,TRAF2,0111,2,0.75,2,2.0265579223632812e-05,1.5,0.00015616416931152344,7.152557373046875e-06,0.00015592575073242188,1.25,"[[['00', [], [[0, 1]]]], [['12', [[0, 1]], []]]]",1.0,False,0.75,0.625,cc,
28,Apoptosis Network,TRAF,01,1,0.5,1,1.1205673217773438e-05,0.0,7.081031799316406e-05,5.0067901611328125e-06,1.5735626220703125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
29,Apoptosis Network,AKT,01,1,0.5,1,1.1205673217773438e-05,0.0,9.036064147949219e-05,4.76837158203125e-06,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
30,Apoptosis Network,PIP2,01,1,0.5,1,1.0967254638671875e-05,0.0,8.249282836914062e-05,4.5299530029296875e-06,1.1920928955078125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
31,Apoptosis Network,GFR,01,1,0.5,1,1.1920928955078125e-05,0.0,0.00011014938354492188,4.76837158203125e-06,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
32,Apoptosis Network,A20,01,1,0.5,1,1.1205673217773438e-05,0.0,0.00010132789611816406,6.9141387939453125e-06,1.6927719116210938e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
33,Apoptosis Network,RIP,01,1,0.5,1,1.5974044799804688e-05,0.0,8.368492126464844e-05,4.76837158203125e-06,1.1682510375976562e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
34,Apoptosis Network,BID,0000001000100010,4,0.1875,3,7.05718994140625e-05,0.375,0.00017142295837402344,9.059906005859375e-06,0.00013208389282226562,1.5208333333333335,"[[['2202', [], [[0, 1, 3]]], ['2221', [], [[0, 1, 2]]], ['0022', [], [[0, 1], [2, 3]]]], [['1210', [[0, 1]], [[0, 2]]]]]",1.0,False,0.09375,0.38020833333333337,cc,
35,Apoptosis Network,Cas9,0000100010001000,4,0.1875,3,6.508827209472656e-05,1.6875,0.00017213821411132812,1.1205673217773438e-05,0.00045752525329589844,1.5208333333333335,"[[['2212', [[2, 3]], [[0, 1, 3]]], ['0022', [], [[0, 1], [2, 3]]]], [['1200', [[0, 1]], [[2, 3]]]]]",1.0,False,0.421875,0.38020833333333337,cc,
36,Apoptosis Network,BclX,00100000,3,0.125,3,3.0994415283203125e-05,1.125,0.0001418590545654297,9.059906005859375e-06,0.00021982192993164062,1.25,"[[['122', [[0, 2]], [[1, 2]]], ['202', [], [[0, 2]]]], [['010', [], [[0, 2]]]]]",1.0,False,0.375,0.4166666666666667,cc,
37,Apoptosis Network,DNADamageEvent,01,1,0.5,1,1.0251998901367188e-05,0.0,7.748603820800781e-05,5.4836273193359375e-06,1.33514404296875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
38,Apoptosis Network,BAD,0010,2,0.25,2,1.71661376953125e-05,0.0,7.724761962890625e-05,8.344650268554688e-06,2.9325485229492188e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",1.0,False,0.0,0.625,cc,
39,Apoptosis Network,TNF,01,1,0.5,1,1.1920928955078125e-05,0.0,9.441375732421875e-05,4.5299530029296875e-06,1.239776611328125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
40,Apoptosis Network,GF,01,1,0.5,1,1.2874603271484375e-05,0.0,9.560585021972656e-05,6.9141387939453125e-06,1.4543533325195312e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
41,Arabidopsis thaliana Cell Cycle,MYB77,0101000101010000,4,0.3125,3,6.29425048828125e-05,0.0,0.00012731552124023438,1.1682510375976562e-05,5.1975250244140625e-05,1.6979166666666665,"[[['2220', [], [[0, 1, 2]]], ['2102', [], [[0, 3]]], ['1122', [], [[0, 1], [2, 3]]]], [['0211', [], [[2, 3]]], ['2021', [], [[0, 2]]]]]",1.0,False,0.0,0.42447916666666663,cc,
42,Arabidopsis thaliana Cell Cycle,KRP1,00001111000011101111111111101110,5,0.65625,6,0.00013494491577148438,3.28125,0.0010404586791992188,1.8596649169921875e-05,0.0049762725830078125,2.109375,"[[['21211', [], [[1, 3, 4], [0, 2]]], ['02022', [], [[0, 2], [1, 3, 4]]]], [['10222', [[0, 2], [1, 3, 4]], [[2, 3, 4]]]]]",1.0,False,0.65625,0.421875,cc,
