,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.000148773193359375,1.3125,0.005710601806640625,1.4781951904296875e-05,0.0011243820190429688,1.625,"[[['1222', [], []], ['2000', [], []]], [['0122', [[1, 2, 3]], []]]]",True,False,0.328125,0.40625,cc,new
1,Apoptosis Network,Cas12,01,1,0.5,1,2.288818359375e-05,0.0,0.004642963409423828,7.152557373046875e-06,3.910064697265625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.0001125335693359375,0.375,0.007982254028320312,4.6253204345703125e-05,0.0012507438659667969,1.520833333333333,"[[['2122', [], []], ['1221', [], []], ['2202', [], []]], [['0012', [[0, 3]], []]]]",True,False,0.09375,0.38020833333333326,cc,new
3,Apoptosis Network,cFLIP,01,1,0.5,1,2.4080276489257812e-05,0.0,0.004701137542724609,7.152557373046875e-06,3.886222839355469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
4,Apoptosis Network,TRADD,01,1,0.5,1,2.3603439331054688e-05,0.0,0.0055294036865234375,8.58306884765625e-06,4.482269287109375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
5,Apoptosis Network,TNFR2,01,1,0.5,1,2.5033950805664062e-05,0.0,0.004919290542602539,7.867813110351562e-06,4.220008850097656e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
6,Apoptosis Network,PTEN,01,1,0.5,1,2.3603439331054688e-05,0.0,0.00491023063659668,7.62939453125e-06,4.291534423828125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.00014925003051757812,1.96875,0.005967617034912109,1.9311904907226562e-05,0.0025835037231445312,1.1875,"[[['2022', [[1, 2, 3]], []], ['1222', [], []]], [['0111', [], []]]]",True,False,0.4921875,0.296875,cc,new
8,Apoptosis Network,FADD,01,1,0.5,1,2.4080276489257812e-05,0.0,0.005016326904296875,7.867813110351562e-06,4.100799560546875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
9,Apoptosis Network,Apaf1,01,1,0.5,1,2.384185791015625e-05,0.0,0.005729198455810547,9.5367431640625e-06,4.5299530029296875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
10,Apoptosis Network,Mito,0010,2,0.25,2,3.981590270996094e-05,0.0,0.005153179168701172,9.298324584960938e-06,5.507469177246094e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
11,Apoptosis Network,JNK,01,1,0.5,1,2.4080276489257812e-05,0.0,0.004980325698852539,8.58306884765625e-06,4.124641418457031e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
12,Apoptosis Network,Mdm2,0111,2,0.75,2,4.220008850097656e-05,1.5,0.0057637691497802734,1.0728836059570312e-05,0.00033211708068847656,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
13,Apoptosis Network,Cas8,01110000,3,0.375,2,5.459785461425781e-05,0.75,0.005184650421142578,1.2874603271484375e-05,0.00032973289489746094,1.5625,"[[['200', [], []], ['122', [], []]], [['012', [[1, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
14,Apoptosis Network,p53,01001100,3,0.375,2,5.555152893066406e-05,0.75,0.0059816837310791016,1.5020370483398438e-05,0.00036334991455078125,1.5625,"[[['020', [], []], ['212', [], []]], [['102', [[0, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
15,Apoptosis Network,Apoptosis,01,1,0.5,1,2.6464462280273438e-05,0.0,0.0051462650299072266,8.344650268554688e-06,4.315376281738281e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
16,Apoptosis Network,NFkB,10,1,0.5,1,2.384185791015625e-05,0.0,0.005010843276977539,8.344650268554688e-06,4.267692565917969e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,0.0,1.0,cc,new
17,Apoptosis Network,PIP3,00010000,3,0.125,3,7.2479248046875e-05,1.125,0.005708217620849609,1.4066696166992188e-05,0.00058746337890625,1.25,"[[['202', [[1, 2]], []], ['122', [], []]], [['011', [], []]]]",True,False,0.375,0.4166666666666667,cc,new
18,Apoptosis Network,Cas7,01110000,3,0.375,2,5.6743621826171875e-05,0.75,0.005083322525024414,1.2636184692382812e-05,0.00032830238342285156,1.5625,"[[['200', [], []], ['122', [], []]], [['012', [[1, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
19,Apoptosis Network,PI3K,01,1,0.5,1,2.384185791015625e-05,0.0,0.0057752132415771484,9.059906005859375e-06,4.76837158203125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
20,Apoptosis Network,JNKK,0010,2,0.25,2,4.100799560546875e-05,0.0,0.0051212310791015625,9.775161743164062e-06,5.245208740234375e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
21,Apoptosis Network,Cas6,0010,2,0.25,2,3.743171691894531e-05,0.0,0.0049550533294677734,9.775161743164062e-06,5.3882598876953125e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
