,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
24,Apoptosis Network,NIK,01,1,0.5,1,3.409385681152344e-05,0.0,0.00018858909606933594,2.2649765014648438e-05,3.075599670410156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
25,Apoptosis Network,IKK,00101010,3,0.375,2,7.414817810058594e-05,0.75,0.00021529197692871094,2.6702880859375e-05,0.000278472900390625,1.5625,"[[['221', [], []], ['002', [], []]], [['120', [[0, 1]], []]]]",True,False,0.25,0.5208333333333334,cc,new
26,Apoptosis Network,IkB,0010,2,0.25,2,7.128715515136719e-05,0.0,0.00028443336486816406,5.9604644775390625e-06,2.3126602172851562e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
27,Apoptosis Network,TRAF2,0111,2,0.75,2,3.504753112792969e-05,1.5,0.00019049644470214844,2.7418136596679688e-05,0.00025653839111328125,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
28,Apoptosis Network,TRAF,01,1,0.5,1,1.8835067749023438e-05,0.0,0.0001518726348876953,4.291534423828125e-06,4.9591064453125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
29,Apoptosis Network,AKT,01,1,0.5,1,3.266334533691406e-05,0.0,0.00019216537475585938,2.1457672119140625e-05,3.075599670410156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
30,Apoptosis Network,PIP2,01,1,0.5,1,3.2901763916015625e-05,0.0,0.00019025802612304688,2.2649765014648438e-05,3.123283386230469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
31,Apoptosis Network,GFR,01,1,0.5,1,3.409385681152344e-05,0.0,0.0001800060272216797,2.2411346435546875e-05,3.147125244140625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
32,Apoptosis Network,A20,01,1,0.5,1,3.337860107421875e-05,0.0,0.00017786026000976562,3.814697265625e-06,3.123283386230469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
33,Apoptosis Network,RIP,01,1,0.5,1,1.52587890625e-05,0.0,0.0001628398895263672,4.291534423828125e-06,3.218650817871094e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
34,Apoptosis Network,BID,0000001000100010,4,0.1875,3,0.00013256072998046875,0.375,0.00024819374084472656,3.504753112792969e-05,0.0003192424774169922,1.5208333333333335,"[[['2202', [], []], ['2221', [], []], ['0022', [], []]], [['1210', [[0, 1]], []]]]",True,False,0.09375,0.38020833333333337,cc,new
35,Apoptosis Network,Cas9,0000100010001000,4,0.1875,3,0.00012373924255371094,1.6875,0.0002110004425048828,3.0279159545898438e-05,0.0009725093841552734,1.5208333333333335,"[[['0022', [], []], ['2212', [[2, 3]], []]], [['1200', [[0, 1]], []]]]",True,False,0.421875,0.38020833333333337,cc,new
36,Apoptosis Network,BclX,00100000,3,0.125,3,9.226799011230469e-05,1.125,0.0002105236053466797,8.58306884765625e-06,0.0004513263702392578,1.25,"[[['122', [[0, 2]], []], ['202', [], []]], [['010', [], []]]]",True,False,0.375,0.4166666666666667,cc,new
37,Apoptosis Network,DNADamageEvent,01,1,0.5,1,1.4781951904296875e-05,0.0,0.00017595291137695312,2.2172927856445312e-05,3.075599670410156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
38,Apoptosis Network,BAD,0010,2,0.25,2,6.198883056640625e-05,0.0,0.0001633167266845703,4.76837158203125e-06,3.933906555175781e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
39,Apoptosis Network,TNF,01,1,0.5,1,3.3855438232421875e-05,0.0,0.00017786026000976562,2.2649765014648438e-05,3.0994415283203125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
40,Apoptosis Network,GF,01,1,0.5,1,1.8596649169921875e-05,0.0,0.00036025047302246094,5.0067901611328125e-06,1.430511474609375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
41,Arabidopsis thaliana Cell Cycle,MYB77,0101000101010000,4,0.3125,3,0.00012373924255371094,0.0,0.00022363662719726562,3.314018249511719e-05,0.00011610984802246094,1.6979166666666665,"[[['2102', [], []], ['2220', [], []], ['1122', [], []]], [['2021', [], []], ['0211', [], []]]]",True,False,0.0,0.42447916666666663,cc,new
42,Arabidopsis thaliana Cell Cycle,CYCD3;1,10,1,0.5,1,1.9550323486328125e-05,0.0,0.0001838207244873047,4.0531158447265625e-06,1.4066696166992188e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,0.0,1.0,cc,new
43,Arabidopsis thaliana Cell Cycle,E2Fa,1110000011101110,4,0.5625,4,0.00011730194091796875,1.125,0.0002090930938720703,1.1920928955078125e-05,0.001009225845336914,2.0,"[[['0122', [], []], ['2211', [], []]], [['2002', [[2, 3]], []], ['1202', [[2, 3]], []]]]",True,False,0.28125,0.5,cc,new
44,Arabidopsis thaliana Cell Cycle,MYB3R1/4,0001000011111111,4,0.5625,3,0.00012540817260742188,0.5625,0.00018453598022460938,1.1444091796875e-05,0.0004775524139404297,1.625,"[[['0202', [[2, 3]], []], ['0122', [], []]], [['1222', [], []], ['2011', [], []]]]",True,False,0.140625,0.40625,cc,new
45,Arabidopsis thaliana Cell Cycle,CYCA2;3,01001100,3,0.375,2,4.1484832763671875e-05,0.75,0.0001621246337890625,7.3909759521484375e-06,0.00024390220642089844,1.5625,"[[['212', [], []], ['020', [], []]], [['102', [[0, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
46,Arabidopsis thaliana Cell Cycle,E2Fb,0100,2,0.25,2,5.793571472167969e-05,0.0,0.00019478797912597656,2.3603439331054688e-05,3.910064697265625e-05,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,0.0,0.625,cc,new
47,Aurora Kinase A in Neuroblastoma,PP2A,0100,2,0.25,2,4.1961669921875e-05,0.0,0.00021529197692871094,2.7894973754882812e-05,4.839897155761719e-05,1.25,"[[['12', [], []], ['20', [], []]], [['01', [], []]]]",True,False,0.0,0.625,cc,new
48,Aurora Kinase A in Neuroblastoma,STMN,10,1,0.5,1,2.2649765014648438e-05,0.0,0.00020384788513183594,4.5299530029296875e-06,1.5020370483398438e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,0.0,1.0,cc,new
49,Aurora Kinase A in Neuroblastoma,CDC25B,00101010,3,0.375,2,5.7697296142578125e-05,0.75,0.0001857280731201172,7.62939453125e-06,0.0002453327178955078,1.5625,"[[['221', [], []], ['002', [], []]], [['120', [[0, 1]], []]]]",True,False,0.25,0.5208333333333334,cc,new
50,Aurora Kinase A in Neuroblastoma,CentrosomeMat,0010,2,0.25,2,2.5033950805664062e-05,0.0,0.00014925003051757812,5.245208740234375e-06,2.0742416381835938e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
51,Aurora Kinase A in Neuroblastoma,CDK1CCNBComplex,1000110011001100,4,0.4375,3,0.0001232624053955078,0.5625,0.0001876354217529297,1.1444091796875e-05,0.00047326087951660156,1.625,"[[['2212', [], []], ['0021', [], []]], [['2200', [], []], ['1202', [[0, 1]], []]]]",True,False,0.140625,0.40625,cc,new
52,Aurora Kinase A in Neuroblastoma,hCPEB,01,1,0.5,1,1.430511474609375e-05,0.0,0.00014400482177734375,4.0531158447265625e-06,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
53,Aurora Kinase A in Neuroblastoma,TPX2,01,1,0.5,1,3.2901763916015625e-05,0.0,0.00019025802612304688,2.2411346435546875e-05,3.075599670410156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
54,Aurora Kinase A in Neuroblastoma,NEDD9,01,1,0.5,1,1.8596649169921875e-05,0.0,0.0003571510314941406,4.5299530029296875e-06,3.5762786865234375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
55,Aurora Kinase A in Neuroblastoma,ENSA,01,1,0.5,1,2.3126602172851562e-05,0.0,0.00020170211791992188,2.5272369384765625e-05,1.5735626220703125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
56,Aurora Kinase A in Neuroblastoma,Cytokinesis,0100,2,0.25,2,4.458427429199219e-05,0.0,0.0001919269561767578,5.245208740234375e-06,4.00543212890625e-05,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,0.0,0.625,cc,new
57,Aurora Kinase A in Neuroblastoma,PP1,10000000,3,0.125,3,6.031990051269531e-05,2.625,0.00021004676818847656,7.62939453125e-06,0.0011196136474609375,1.25,"[[['122', [[0, 1, 2]], []]], [['000', [], []]]]",True,False,0.875,0.4166666666666667,cc,new
58,Aurora Kinase A in Neuroblastoma,MT,10,1,0.5,1,1.4781951904296875e-05,0.0,0.00014209747314453125,3.814697265625e-06,1.2159347534179688e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,0.0,1.0,cc,new
