,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
22,Apoptosis Network,MEKK1,01,1,0.5,1,2.5987625122070312e-05,0.0,0.00018534660339355468,8.58306884765625e-06,4.5299530029296875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3063597737249578e-05,0.0,1.0,cc,new
23,Apoptosis Network,TNFR1,01,1,0.5,1,2.6226043701171875e-05,0.0,0.0001899242401123047,8.58306884765625e-06,4.7206878662109375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3759540856967634e-05,0.0,1.0,cc,new
24,Apoptosis Network,NIK,01,1,0.5,1,2.5272369384765625e-05,0.0,0.00019469261169433594,9.059906005859375e-06,4.673004150390625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.5123031613447397e-05,0.0,1.0,cc,new
25,Apoptosis Network,IKK,00101010,3,0.375,2,7.081031799316406e-05,0.75,0.0003104209899902344,1.4781951904296875e-05,0.00034928321838378906,1.5625,"[[['221', [], []], ['002', [], []]], [['120', [[0, 1]], []]]]",True,False,2.2008501557278206e-05,0.25,0.5208333333333334,cc,new
26,Apoptosis Network,IkB,0010,2,0.25,2,4.291534423828125e-05,0.0,0.0002025604248046875,1.0251998901367188e-05,5.602836608886719e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.9490102734875208e-05,0.0,0.625,cc,new
27,Apoptosis Network,TRAF2,0111,2,0.75,2,3.8623809814453125e-05,1.5,0.0003048419952392578,1.1205673217773438e-05,0.00029921531677246094,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,2.0368594714271477e-05,0.75,0.625,cc,new
28,Apoptosis Network,TRAF,01,1,0.5,1,2.6464462280273438e-05,0.0,0.00017676353454589843,8.344650268554688e-06,4.76837158203125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.5904931824786998e-05,0.0,1.0,cc,new
29,Apoptosis Network,AKT,01,1,0.5,1,2.9087066650390625e-05,0.0,0.00018372535705566407,9.775161743164062e-06,4.744529724121094e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.5287521252350905e-05,0.0,1.0,cc,new
30,Apoptosis Network,PIP2,01,1,0.5,1,3.0994415283203125e-05,0.0,0.00018019676208496093,9.5367431640625e-06,5.078315734863281e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.1216726330340684e-05,0.0,1.0,cc,new
31,Apoptosis Network,GFR,01,1,0.5,1,2.7418136596679688e-05,0.0,0.00017709732055664061,8.821487426757812e-06,4.839897155761719e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,9.056642848174567e-06,0.0,1.0,cc,new
32,Apoptosis Network,A20,01,1,0.5,1,3.552436828613281e-05,0.0,0.0001826763153076172,9.298324584960938e-06,4.8160552978515625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.1821715437043314e-05,0.0,1.0,cc,new
