,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.00013113021850585938,1.3125,0.005866527557373047,2.3603439331054688e-05,0.0013897418975830078,1.625,"[[['1222', [], []], ['2000', [], []]], [['0122', [[1, 2, 3]], []]]]",True,False,0.328125,0.40625,cc,new
1,Apoptosis Network,Cas12,01,1,0.5,1,5.316734313964844e-05,0.0,0.005472421646118164,7.152557373046875e-06,4.649162292480469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.00023937225341796875,0.375,0.005465030670166016,1.71661376953125e-05,0.0003790855407714844,1.520833333333333,"[[['2122', [], []], ['2202', [], []], ['1221', [], []]], [['0012', [[0, 3]], []]]]",True,False,0.09375,0.38020833333333326,cc,new
3,Apoptosis Network,cFLIP,01,1,0.5,1,2.5272369384765625e-05,0.0,0.004911661148071289,7.3909759521484375e-06,5.412101745605469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
4,Apoptosis Network,TRADD,01,1,0.5,1,2.4557113647460938e-05,0.0,0.005078792572021484,1.3113021850585938e-05,6.604194641113281e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
5,Apoptosis Network,TNFR2,01,1,0.5,1,4.220008850097656e-05,0.0,0.005066633224487305,7.3909759521484375e-06,5.364418029785156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
6,Apoptosis Network,PTEN,01,1,0.5,1,2.8133392333984375e-05,0.0,0.004996776580810547,7.152557373046875e-06,5.0067901611328125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.0002334117889404297,1.96875,0.005902528762817383,3.838539123535156e-05,0.0033273696899414062,1.1875,"[[['1222', [], []], ['2022', [[1, 2, 3]], []]], [['0111', [], []]]]",True,False,0.4921875,0.296875,cc,new
8,Apoptosis Network,FADD,01,1,0.5,1,3.123283386230469e-05,0.0,0.005046367645263672,7.62939453125e-06,4.935264587402344e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
9,Apoptosis Network,Apaf1,01,1,0.5,1,3.0994415283203125e-05,0.0,0.005362987518310547,1.4066696166992188e-05,7.128715515136719e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
