,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
0,,x,00,1,0.0,1,6.771087646484375e-05,,0.0006927490234375,,,0.0,"[[('2', [], [])], []]",True,False,5.263850291126541e-05,,0.0,rng,v0.1.2
1,,x,10,1,0.5,1,3.0040740966796875e-05,,0.0007128715515136719,,,0.0,"[[('1', [], [])], [('0', [], [])]]",True,False,4.639578992525747e-05,,0.0,rng,v0.1.2
2,,x,01,1,0.5,1,3.2901763916015625e-05,,0.0007542610168457031,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,3.7657337187556585e-05,,0.0,rng,v0.1.2
3,,x,0000,2,0.0,1,4.7206878662109375e-05,,0.0007441520690917968,,,0.0,"[[('22', [], [[0, 1]])], []]",True,False,3.829165677285646e-05,,0.0,rng,v0.1.2
4,,x,0100,2,0.25,2,4.4345855712890625e-05,,0.0009992122650146484,,,1.25,"[[('20', [], []), ('12', [], [])], [('01', [], [])]]",True,False,4.342963101275721e-05,,0.625,rng,v0.1.2
5,,x,1000,2,0.25,2,4.291534423828125e-05,,0.0013321399688720702,,,1.25,"[[('21', [[0, 1]], [])], [('00', [], [[0, 1]])]]",True,False,7.121137910283931e-05,,0.625,rng,v0.1.2
6,,x,0001,2,0.25,2,4.76837158203125e-05,,0.0013188362121582032,,,1.25,"[[('20', [[0, 1]], [])], [('11', [], [[0, 1]])]]",True,False,5.4470709633842206e-05,,0.625,rng,v0.1.2
7,,x,0010,2,0.25,2,4.673004150390625e-05,,0.0009944438934326172,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,4.033010770235012e-05,,0.625,rng,v0.1.2
8,,x,1100,2,0.5,1,4.6253204345703125e-05,,0.0009204387664794922,,,1.0,"[[('12', [], [])], [('02', [], [])]]",True,False,4.417700050348457e-05,,0.5,rng,v0.1.2
9,,x,1010,2,0.5,1,4.57763671875e-05,,0.000954437255859375,,,1.0,"[[('21', [], [])], [('20', [], [])]]",True,False,0.0001213127898260433,,0.5,rng,v0.1.2
10,,x,0101,2,0.5,1,4.553794860839844e-05,,0.0009213447570800781,,,1.0,"[[('20', [], [])], [('21', [], [])]]",True,False,8.66596405133321e-05,,0.5,rng,v0.1.2
11,,x,1001,2,0.5,2,3.361701965332031e-05,,0.0014501571655273437,,,2.0,"[[('10', [[0, 1]], [])], [('11', [], [[0, 1]]), ('00', [], [[0, 1]])]]",True,False,1.778902994923761e-05,,1.0,rng,v0.1.2
12,,x,0110,2,0.5,2,3.814697265625e-05,,0.0014886856079101562,,,2.0,"[[('11', [], [[0, 1]]), ('00', [], [[0, 1]])], [('10', [[0, 1]], [])]]",True,False,7.821801053458703e-05,,1.0,rng,v0.1.2
13,,x,0011,2,0.5,1,4.38690185546875e-05,,0.0009061336517333984,,,1.0,"[[('02', [], [])], [('12', [], [])]]",True,False,3.9600055646645366e-05,,0.5,rng,v0.1.2
14,,x,00000000,3,0.0,1,7.748603820800781e-05,,0.0008156776428222656,,,0.0,"[[('222', [], [[0, 1, 2]])], []]",True,False,3.906003657411376e-05,,0.0,rng,v0.1.2
15,,x,10000000,3,0.125,3,6.580352783203125e-05,,0.0016662120819091798,,,1.25,"[[('221', [[0, 1, 2]], [[1, 2]])], [('000', [], [[0, 1, 2]])]]",True,False,7.934140459668146e-05,,0.4166666666666667,rng,v0.1.2
16,,x,00000001,3,0.125,3,7.772445678710938e-05,,0.001678466796875,,,1.25,"[[('220', [[0, 1, 2]], [[1, 2]])], [('111', [], [[0, 1, 2]])]]",True,False,8.491491157481357e-05,,0.4166666666666667,rng,v0.1.2
17,,x,00010000,3,0.125,3,7.033348083496094e-05,,0.0019362926483154296,,,1.25,"[[('220', [[1, 2]], [[0, 1]]), ('122', [], [[1, 2]])], [('011', [], [[1, 2]])]]",True,False,7.946653976742691e-05,,0.4166666666666667,rng,v0.1.2
18,,x,01000000,3,0.125,3,7.200241088867188e-05,,0.0019279003143310546,,,1.25,"[[('122', [[0, 1]], [[0, 1]]), ('220', [], [[0, 1]])], [('001', [], [[0, 1]])]]",True,False,2.9360703510899452e-05,,0.4166666666666667,rng,v0.1.2
19,,x,00001000,3,0.125,3,7.104873657226562e-05,,0.002016782760620117,,,1.25,"[[('221', [[1, 2]], [[0, 1]]), ('022', [], [[1, 2]])], [('100', [], [[1, 2]])]]",True,False,0.00011180423127340622,,0.4166666666666667,rng,v0.1.2
20,,x,00000100,3,0.125,3,7.486343383789062e-05,,0.0019635677337646483,,,1.25,"[[('220', [[0, 2]], []), ('212', [], [[0, 2]])], [('101', [], [[0, 2]])]]",True,False,0.00010268214066247238,,0.4166666666666667,rng,v0.1.2
21,,x,00000010,3,0.125,3,7.009506225585938e-05,,0.0020535945892333984,,,1.25,"[[('022', [[0, 1]], [[0, 1]]), ('221', [], [[0, 1]])], [('110', [], [[0, 1]])]]",True,False,0.0002792243991003731,,0.4166666666666667,rng,v0.1.2
22,,x,00100000,3,0.125,3,7.486343383789062e-05,,0.001979970932006836,,,1.25,"[[('221', [[0, 2]], []), ('202', [], [[0, 2]])], [('010', [], [[0, 2]])]]",True,False,8.798551383592266e-05,,0.4166666666666667,rng,v0.1.2
23,,x,11000000,3,0.25,2,6.413459777832031e-05,,0.00142364501953125,,,1.25,"[[('122', [[0, 1]], [[0, 1]])], [('002', [], [[0, 1]])]]",True,False,8.567284268986554e-05,,0.4166666666666667,rng,v0.1.2
24,,x,10010000,3,0.25,3,6.031990051269531e-05,,0.00213775634765625,,,1.875,"[[('210', [[1, 2]], []), ('122', [], [[1, 2]])], [('000', [], [[0, 1, 2]]), ('011', [], [[1, 2]])]]",True,False,7.189505828825456e-05,,0.625,rng,v0.1.2
25,,x,01001000,3,0.25,3,0.00010228157043457031,,0.0022618770599365234,,,1.875,"[[('020', [], [[0, 2]]), ('121', [], [[0, 2]]), ('212', [], [[0, 2]])], [('001', [[0, 2]], [])]]",True,False,0.00014728650006508735,,0.625,rng,v0.1.2
26,,x,00100100,3,0.25,6,6.318092346191406e-05,,0.009591770172119141,,,2.25,"[[('112', [[0, 2]], []), ('021', [[0, 2]], []), ('200', [[0, 2]], [])], [('101', [], [[0, 2]]), ('010', [], [[0, 2]])]]",True,False,0.0005946467635569315,,0.75,rng,v0.1.2
27,,x,00000101,3,0.25,2,8.177757263183594e-05,,0.0013217926025390625,,,1.25,"[[('220', [[0, 2]], [])], [('121', [], [[0, 2]])]]",True,False,3.618185558718559e-05,,0.4166666666666667,rng,v0.1.2
28,,x,00100001,3,0.25,3,5.793571472167969e-05,,0.0020599842071533205,,,1.875,"[[('021', [[0, 2]], []), ('202', [], [[0, 2]])], [('111', [], [[0, 1, 2]]), ('010', [], [[0, 2]])]]",True,False,0.0001374073434836721,,0.625,rng,v0.1.2
29,,x,00000011,3,0.25,2,6.29425048828125e-05,,0.0013891696929931641,,,1.25,"[[('022', [[0, 1]], [[0, 1]])], [('112', [], [[0, 1]])]]",True,False,5.342185254880491e-05,,0.4166666666666667,rng,v0.1.2
30,,x,00101000,3,0.25,3,6.008148193359375e-05,,0.00216064453125,,,1.875,"[[('221', [], [[0, 1]]), ('112', [], [[0, 1]]), ('002', [], [[0, 1]])], [('100', [[0, 1]], [[0, 1]])]]",True,False,7.542873572827763e-05,,0.625,rng,v0.1.2
31,,x,00010010,3,0.25,3,9.417533874511719e-05,,0.0021082401275634766,,,1.875,"[[('020', [], [[0, 2]]), ('121', [], [[0, 2]]), ('202', [], [[0, 2]])], [('110', [[0, 2]], [])]]",True,False,2.8872716337366812e-05,,0.625,rng,v0.1.2
32,,x,00001001,3,0.25,3,5.6743621826171875e-05,,0.0020746707916259764,,,1.875,"[[('210', [[1, 2]], []), ('022', [], [[1, 2]])], [('100', [], [[1, 2]]), ('111', [], [[0, 1, 2]])]]",True,False,6.932799052815048e-05,,0.625,rng,v0.1.2
33,,x,10001000,3,0.25,2,6.4849853515625e-05,,0.0017658233642578124,,,1.25,"[[('221', [[1, 2]], [[0, 1]])], [('200', [], [[1, 2]])]]",True,False,0.0003396530056254673,,0.4166666666666667,rng,v0.1.2
34,,x,01010000,3,0.25,2,8.630752563476562e-05,,0.0010849952697753907,,,1.25,"[[('220', [], [[0, 1]]), ('122', [], [[1, 2]])], [('021', [], [])]]",True,False,3.362070563920331e-05,,0.4166666666666667,rng,v0.1.2
35,,x,00000110,3,0.25,3,6.031990051269531e-05,,0.0021689414978027345,,,1.875,"[[('200', [], [[1, 2]]), ('211', [], [[1, 2]]), ('022', [], [[1, 2]])], [('110', [[1, 2]], [[0, 1]])]]",True,False,4.990947727165912e-05,,0.625,rng,v0.1.2
36,,x,10000010,3,0.25,3,7.009506225585938e-05,,0.002165985107421875,,,1.875,"[[('012', [[0, 1]], []), ('221', [], [[0, 1]])], [('110', [], [[0, 1]]), ('000', [], [[0, 1, 2]])]]",True,False,6.509297043048583e-05,,0.625,rng,v0.1.2
37,,x,01000001,3,0.25,3,5.91278076171875e-05,,0.0021695613861083983,,,1.875,"[[('012', [[0, 1]], []), ('220', [], [[0, 1]])], [('001', [], [[0, 1]]), ('111', [], [[0, 1, 2]])]]",True,False,0.00014482152892776807,,0.625,rng,v0.1.2
38,,x,10100000,3,0.25,2,8.821487426757812e-05,,0.0014488697052001953,,,1.25,"[[('221', [[0, 2]], [])], [('020', [], [[0, 2]])]]",True,False,5.7317928904024474e-05,,0.4166666666666667,rng,v0.1.2
39,,x,01000010,3,0.25,6,6.723403930664062e-05,,0.009567642211914062,,,2.25,"[[('200', [[0, 1]], [[0, 1]]), ('211', [[0, 1]], [[0, 1]]), ('012', [[0, 1]], [])], [('001', [], [[0, 1]]), ('110', [], [[0, 1]])]]",True,False,0.0003906282654361285,,0.75,rng,v0.1.2
40,,x,00010001,3,0.25,2,6.103515625e-05,,0.0014026165008544922,,,1.25,"[[('220', [[1, 2]], [[0, 1]])], [('211', [], [[1, 2]])]]",True,False,0.00018810727290518743,,0.4166666666666667,rng,v0.1.2
41,,x,00110000,3,0.25,2,6.508827209472656e-05,,0.0011044979095458985,,,1.25,"[[('122', [], [[1, 2]]), ('202', [], [[0, 2]])], [('012', [], [])]]",True,False,4.179161465656268e-05,,0.4166666666666667,rng,v0.1.2
42,,x,00001100,3,0.25,2,7.271766662597656e-05,,0.0011339187622070312,,,1.25,"[[('212', [], [[0, 2]]), ('022', [], [[1, 2]])], [('102', [], [])]]",True,False,4.340370779688476e-05,,0.4166666666666667,rng,v0.1.2
43,,x,00011000,3,0.25,6,6.461143493652344e-05,,0.009201145172119141,,,2.25,"[[('112', [[1, 2]], [[0, 1]]), ('210', [[1, 2]], []), ('020', [[1, 2]], [])], [('100', [], [[1, 2]]), ('011', [], [[1, 2]])]]",True,False,0.00045490696243224364,,0.75,rng,v0.1.2
44,,x,01100000,3,0.25,3,5.7697296142578125e-05,,0.0020082473754882814,,,1.875,"[[('200', [], [[1, 2]]), ('211', [], [[1, 2]]), ('122', [], [[1, 2]])], [('001', [[1, 2]], [[0, 1]])]]",True,False,2.3197723436115776e-05,,0.625,rng,v0.1.2
45,,x,00010100,3,0.25,3,6.0558319091796875e-05,,0.002169179916381836,,,1.875,"[[('220', [], [[0, 1]]), ('112', [], [[0, 1]]), ('002', [], [[0, 1]])], [('101', [[0, 1]], [])]]",True,False,0.0003880625303497013,,0.625,rng,v0.1.2
