,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,ks_norm,ke_norm,source
0,,x,00,1,0.0,1,4.673004150390625e-05,0.0,0.00020194053649902344,6.198883056640625e-06,3.6716461181640625e-05,0.0,0.0,0.0,rng
1,,x,10,1,0.5,1,1.4543533325195312e-05,0.0,0.0002090930938720703,2.2172927856445312e-05,3.1948089599609375e-05,1.0,0.0,1.0,rng
2,,x,01,1,0.5,1,1.6927719116210938e-05,0.0,0.00020575523376464844,3.814697265625e-06,3.0994415283203125e-05,1.0,0.0,1.0,rng
3,,x,0000,2,0.0,1,4.267692565917969e-05,0.0,0.00023317337036132812,5.4836273193359375e-06,1.5735626220703125e-05,0.0,0.0,0.0,rng
4,,x,1000,2,0.25,2,2.4318695068359375e-05,1.5,0.00044274330139160156,5.245208740234375e-06,0.0001914501190185547,1.25,0.75,0.625,rng
5,,x,0010,2,0.25,2,2.3365020751953125e-05,0.0,0.00022411346435546875,4.5299530029296875e-06,3.910064697265625e-05,1.25,0.0,0.625,rng
6,,x,0001,2,0.25,2,2.1457672119140625e-05,1.5,0.00042247772216796875,2.3603439331054688e-05,0.0001888275146484375,1.25,0.75,0.625,rng
7,,x,0100,2,0.25,2,2.3603439331054688e-05,0.0,0.00022268295288085938,5.0067901611328125e-06,3.886222839355469e-05,1.25,0.0,0.625,rng
8,,x,1100,2,0.5,1,4.2438507080078125e-05,0.0,0.0002808570861816406,2.6464462280273438e-05,4.2438507080078125e-05,1.0,0.0,0.5,rng
9,,x,1010,2,0.5,1,3.0279159545898438e-05,0.0,0.0002334117889404297,2.5272369384765625e-05,3.8623809814453125e-05,1.0,0.0,0.5,rng
10,,x,0011,2,0.5,1,2.3603439331054688e-05,0.0,0.0002162456512451172,2.2411346435546875e-05,1.6927719116210938e-05,1.0,0.0,0.5,rng
11,,x,0110,2,0.5,2,1.5497207641601562e-05,1.0,0.00045418739318847656,5.245208740234375e-06,0.0001304149627685547,2.0,0.5,1.0,rng
12,,x,0101,2,0.5,1,2.4318695068359375e-05,0.0,0.00021529197692871094,4.5299530029296875e-06,3.504753112792969e-05,1.0,0.0,0.5,rng
