,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.0001494884490966797,1.3125,0.0002815723419189453,1.4543533325195312e-05,0.0011479854583740234,1.625,"[[['1222', [], []], ['2000', [], []]], [['0122', [[1, 2, 3]], []]]]",True,False,0.328125,0.40625,cc,new
1,Apoptosis Network,Cas12,01,1,0.5,1,2.2649765014648438e-05,0.0,0.00014972686767578125,8.344650268554688e-06,3.790855407714844e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.00011467933654785156,0.375,0.00028967857360839844,4.5299530029296875e-05,0.0006768703460693359,1.5208333333333335,"[[['2122', [], []], ['1221', [], []], ['2202', [], []]], [['0012', [[0, 3]], []]]]",True,False,0.09375,0.38020833333333337,cc,new
3,Apoptosis Network,cFLIP,01,1,0.5,1,2.47955322265625e-05,0.0,0.00015234947204589844,1.0251998901367188e-05,4.124641418457031e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
4,Apoptosis Network,TRADD,01,1,0.5,1,2.2649765014648438e-05,0.0,0.00014638900756835938,1.0967254638671875e-05,3.910064697265625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
5,Apoptosis Network,TNFR2,01,1,0.5,1,3.600120544433594e-05,0.0,0.00015807151794433594,1.0967254638671875e-05,4.0531158447265625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
6,Apoptosis Network,PTEN,01,1,0.5,1,2.4318695068359375e-05,0.0,0.00015997886657714844,1.049041748046875e-05,4.124641418457031e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.00014829635620117188,1.96875,0.0003681182861328125,4.7206878662109375e-05,0.0061075687408447266,1.1875,"[[['2022', [[1, 2, 3]], []], ['1222', [], []]], [['0111', [], []]]]",True,False,0.4921875,0.296875,cc,new
8,Apoptosis Network,FADD,01,1,0.5,1,2.5510787963867188e-05,0.0,0.0001666545867919922,1.0967254638671875e-05,4.029273986816406e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
9,Apoptosis Network,Apaf1,01,1,0.5,1,3.5762786865234375e-05,0.0,0.00018525123596191406,1.3589859008789062e-05,4.863739013671875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
10,Apoptosis Network,Mito,0010,2,0.25,2,4.744529724121094e-05,0.0,0.00019073486328125,1.621246337890625e-05,6.818771362304688e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
11,Apoptosis Network,JNK,01,1,0.5,1,3.4809112548828125e-05,0.0,0.00017309188842773438,1.0967254638671875e-05,4.1484832763671875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
